id,id_municipio,id_estado,nome,localizacao,rede,coordenadas_latitude,coordenadas_longitude,has_inf,has_fund_ai,has_fund_af,has_fund_em
35904090,3525904,35,JURANDYR DE SOUZA LIMA,Urbana,Estadual,-23.117997,-46.965552,false,false,true,true
35905800,3543402,35,AYMAR BAPTISTA PRADO PROFESSOR DOUTOR,Urbana,Estadual,-21.156237,-47.838667,false,true,false,false
35905811,3543402,35,BAUDILIO BIAGI,Urbana,Estadual,-21.114064,-47.803152,false,true,true,false
35906232,3516309,35,LYDIA SCALET WALKER PROFA,Urbana,Estadual,-23.269717,-46.752400,false,true,true,true
35906759,3505906,35,GERALDO TRISTAO DE LIMA PROFESSOR,Urbana,Estadual,-20.903539,-47.585065,false,true,false,false
35907736,3505500,35,FABIO JUNQUEIRA FRANCO,Urbana,Estadual,-20.546195,-48.551656,false,false,true,true
35907741,3505500,35,LACY BONILHA DE SOUZA PROFESSORA,Rural,Estadual,-20.613511,-48.762878,false,false,true,true
35907873,3543402,35,VICENTE TEODORO DE SOUZA PROFESSOR,Urbana,Estadual,-21.193589,-47.832582,false,false,true,false
35907881,3543402,35,EXPEDICIONARIOS BRASILEIROS,Urbana,Estadual,-21.224943,-47.764238,false,true,true,true
35909506,3525904,35,MARIA DE ALMEIDA SCHLEDORN PROFESSORA,Urbana,Estadual,-23.153369,-46.963335,false,false,true,true
35909737,3543402,35,GLORIA DOS SANTOS FONSECA PROFESSORA,Urbana,Estadual,-21.139537,-47.807574,false,true,false,false
35911306,3543402,35,ROSANGELA BASILE PROFESSORA,Urbana,Estadual,-21.201459,-47.854732,false,true,false,false
35912086,3543402,35,ROMEU ALBERTI DOM,Urbana,Estadual,-21.139607,-47.830328,false,false,true,true
35913078,3525904,35,BENEDICTO LOSCHI,Rural,Estadual,-23.123673,-46.935178,false,false,true,false
35913443,3516309,35,JOSE DE BARROS MARTINS EDITOR,Urbana,Estadual,-23.258000,-46.742507,false,false,true,true
35915233,3516309,35,BUENO DE AZEVEDO FILHO PROF,Urbana,Estadual,-23.283576,-46.753043,false,false,true,true
35915555,3543402,35,CORDELIA RIBEIRO RAGOZO PROFESSORA,Urbana,Estadual,-21.257590,-47.812210,false,true,true,false
35916869,3516309,35,LENITA CORREA CAMARGO PROFA,Urbana,Estadual,-23.281648,-46.740708,false,false,true,true
35918155,3543402,35,JESUS GUILHERME GIACOMINI,Urbana,Estadual,-21.202123,-47.836763,false,true,false,false
35918167,3543402,35,JORGE RODINI LUIZ PROFESSOR,Urbana,Estadual,-21.131688,-47.832277,false,true,false,false
35919433,3505906,35,MARIA VIRGINIA MANSUR BIAGI PROFESSORA,Urbana,Estadual,-20.884070,-47.579197,false,false,true,true
35921026,3516309,35,PEDRO PAULO DE AGUIAR,Urbana,Estadual,-23.274243,-46.720928,false,false,true,true
35922547,3512407,35,ODECIO LUCKE PROFESSOR,Urbana,Estadual,-22.491576,-47.456434,false,false,true,true
35923114,3516309,35,JARDIM DAS ROSAS,Urbana,Estadual,-23.283587,-46.735870,false,false,true,true
35923631,3516309,35,APARECIDO ROBERTO TONELLOTTI PROFESSOR,Urbana,Estadual,-23.299092,-46.729574,false,false,true,true
35924167,3516309,35,PARQUE CENTO E VINTE II,Urbana,Estadual,-23.261486,-46.736114,false,false,true,true
35924532,3516309,35,JARDIM SILVIA II,Urbana,Estadual,-23.268834,-46.730804,false,false,true,true
35925020,3525904,35,JOAQUIM JUSTINO CARREIRA,Urbana,Estadual,-23.144357,-46.988919,false,false,true,true
35925664,3543402,35,PROFESSOR LAURO BIGELLI,Urbana,Estadual,-21.133592,-47.846511,false,true,false,false
35925676,3543402,35,ESPLANADA DA ESTACAO,Urbana,Estadual,-21.159729,-47.766892,false,true,false,false
35925688,3543402,35,JARDIM PAIVA I,Urbana,Estadual,-21.150584,-47.851240,false,true,false,false
35925697,3543402,35,JULIETA FERNANDA SOUSA TARANTO,Urbana,Estadual,-21.204153,-47.843227,false,false,true,false
35925706,3543402,35,PARQUE DOS SERVIDORES,Urbana,Estadual,-21.191885,-47.736053,false,false,true,true
35925718,3543402,35,PROFESSOR DIVO MARINO,Urbana,Estadual,-21.139823,-47.851619,false,true,false,false
